nt n SUN kernel bw
7 56 SUN-array Plaquette-Notrace 70.2224
7 56 SUN-array Plaquette-Trace 749.1273
7 56 SUN-array Plaquette-NotraceTrace 72.2301
7 60 mu-external MatMul 284.6123
7 60 mu-external MatMulTmp 121.2812
7 60 mu-external MatMulInter 102.8053
7 60 mu-external conjMatMul 121.2592
7 60 mu-external HalfStaple 327.3948
7 60 mu-external Plaquette 42.1374
7 60 SUN-internal MatMul 285.6653
7 60 SUN-internal MatMulTmp 122.2456
7 60 SUN-internal MatMulInter 103.5771
7 60 SUN-internal conjMatMul 122.2188
7 60 SUN-internal HalfStaple 222.5190
7 60 SUN-internal Plaquette 55.4943
7 60 SUN-internal Plaquette-Kernel 41.8540
7 60 SUN-internal Plaquette-Notrace 49.7709
7 60 SUN-internal Plaquette-Trace 956.2223
7 60 SUN-internal Plaquette-NotraceTrace 53.3613
7 60 SUN-array MatMul 426.9716
7 60 SUN-array conjMatMul 401.9606
7 60 SUN-array HalfStaple 361.3832
7 60 SUN-array Plaquette 58.5133
7 60 SUN-array Plaquette-Kernel 55.7457
7 60 SUN-array Plaquette-Notrace 68.3035
7 60 SUN-array Plaquette-Trace 811.8234
7 60 SUN-array Plaquette-NotraceTrace 70.0649
7 64 mu-external MatMul 384.1921
7 64 mu-external MatMulTmp 150.8585
7 64 mu-external MatMulInter 131.2516
7 64 mu-external conjMatMul 151.0112
7 64 mu-external HalfStaple 397.8156
7 64 mu-external Plaquette 68.9651
7 64 SUN-internal MatMul 386.9757
7 64 SUN-internal MatMulTmp 151.9076
7 64 SUN-internal MatMulInter 131.7604
7 64 SUN-internal conjMatMul 152.3876
7 64 SUN-internal HalfStaple 284.5024
7 64 SUN-internal Plaquette 78.2571
7 64 SUN-internal Plaquette-Kernel 69.1169
7 64 SUN-internal Plaquette-Notrace 64.4554
7 64 SUN-internal Plaquette-Trace 1099.5310
7 64 SUN-internal Plaquette-NotraceTrace 69.1329
7 64 SUN-array MatMul 434.5918
7 64 SUN-array conjMatMul 404.9361
7 64 SUN-array HalfStaple 394.3431
7 64 SUN-array Plaquette 63.1595
7 64 SUN-array Plaquette-Kernel 59.7522
7 64 SUN-array Plaquette-Notrace 70.1136
7 64 SUN-array Plaquette-Trace 979.2590
7 64 SUN-array Plaquette-NotraceTrace 71.7928
7 68 mu-external MatMul 291.4804
7 68 mu-external MatMulTmp 119.5283
7 68 mu-external MatMulInter 106.5574
7 68 mu-external conjMatMul 119.4989
7 68 mu-external HalfStaple 343.6645
7 68 mu-external Plaquette 43.0428
