nt n SUN kernel bw
128 32 array HalfStaple 153.2018
128 32 array Plaquette 63.1133
128 32 array Plaquette_Kernel 48.0740
128 32 array Plaquette_Notrace 57.1825
128 32 array Plaquette_Trace 56.9840
128 32 array Plaquette_NotraceTrace 61.3429
128 36 internal MatMul 217.6464
128 36 internal MatMulTmp 214.0697
128 36 internal MatMulInter 215.0552
128 36 internal conjMatMul 214.6783
128 36 internal HalfStaple 149.7358
128 36 internal Plaquette 81.4371
128 36 internal Plaquette_Kernel 77.7232
128 36 internal Plaquette_Notrace 58.1080
128 36 internal Plaquette_Trace 46.5818
128 36 internal Plaquette_NotraceTrace 55.1184
128 36 array MatMul 225.6411
128 36 array conjMatMul 218.0962
128 36 array HalfStaple 158.9762
128 36 array Plaquette 69.5688
128 36 array Plaquette_Kernel 44.5451
128 36 array Plaquette_Notrace 55.4247
128 36 array Plaquette_Trace 71.0665
128 36 array Plaquette_NotraceTrace 61.1036
128 40 internal MatMul 221.7329
128 40 internal MatMulTmp 217.3808
128 40 internal MatMulInter 217.4931
128 40 internal conjMatMul 217.7107
128 40 internal HalfStaple 151.7343
128 40 internal Plaquette 85.4115
128 40 internal Plaquette_Kernel 81.9795
128 40 internal Plaquette_Notrace 60.0418
128 40 internal Plaquette_Trace 52.9408
128 40 internal Plaquette_NotraceTrace 62.0186
128 40 array MatMul 224.8900
128 40 array conjMatMul 219.1953
128 40 array HalfStaple 161.4227
128 40 array Plaquette 74.1736
128 40 array Plaquette_Kernel 47.4239
128 40 array Plaquette_Notrace 61.3889
128 40 array Plaquette_Trace 90.2223
128 40 array Plaquette_NotraceTrace 69.7350
128 44 internal MatMul 224.4232
128 44 internal MatMulTmp 221.6085
128 44 internal MatMulInter 221.4768
128 44 internal conjMatMul 221.3901
128 44 internal HalfStaple 154.8753
128 44 internal Plaquette 84.5627
128 44 internal Plaquette_Kernel 82.6830
128 44 internal Plaquette_Notrace 63.5389
128 44 internal Plaquette_Trace 55.9286
128 44 internal Plaquette_NotraceTrace 65.8960
128 44 array MatMul 223.0720
128 44 array conjMatMul 220.2972
128 44 array HalfStaple 163.4012
128 44 array Plaquette 79.3036
128 44 array Plaquette_Kernel 45.7615
128 44 array Plaquette_Notrace 69.1734
128 44 array Plaquette_Trace 80.9152
128 44 array Plaquette_NotraceTrace 72.9718
128 48 internal MatMul 229.1065
128 48 internal MatMulTmp 227.3346
128 48 internal MatMulInter 227.7843
128 48 internal conjMatMul 227.0899
128 48 internal HalfStaple 157.0577
128 48 internal Plaquette 78.9543
128 48 internal Plaquette_Kernel 77.7553
128 48 internal Plaquette_Notrace 65.7536
128 48 internal Plaquette_Trace 60.1573
128 48 internal Plaquette_NotraceTrace 63.8196
128 48 array MatMul 223.7174
128 48 array conjMatMul 221.0818
128 48 array HalfStaple 169.0893
128 48 array Plaquette 76.1984
128 48 array Plaquette_Kernel 47.4810
128 48 array Plaquette_Notrace 66.6665
128 48 array Plaquette_Trace 111.5460
128 48 array Plaquette_NotraceTrace 70.9438
128 52 internal MatMul 225.6666
128 52 internal MatMulTmp 223.4623
128 52 internal MatMulInter 223.4761
128 52 internal conjMatMul 223.9357
128 52 internal HalfStaple 159.8761
128 52 internal Plaquette 71.1294
128 52 internal Plaquette_Kernel 70.7438
128 52 internal Plaquette_Notrace 72.4032
128 52 internal Plaquette_Trace 46.2141
128 52 internal Plaquette_NotraceTrace 66.5726
128 52 array MatMul 223.4646
128 52 array conjMatMul 223.1381
128 52 array HalfStaple 169.2358
128 52 array Plaquette 69.7455
128 52 array Plaquette_Kernel 46.4800
128 52 array Plaquette_Notrace 74.7786
128 52 array Plaquette_Trace 106.6920
128 52 array Plaquette_NotraceTrace 74.6940
128 56 internal MatMul 225.3735
128 56 internal MatMulTmp 223.9588
128 56 internal MatMulInter 223.7675
128 56 internal conjMatMul 223.9058
128 56 internal HalfStaple 157.0060
128 56 internal Plaquette 69.3997
128 56 internal Plaquette_Kernel 68.1921
128 56 internal Plaquette_Notrace 80.3547
128 56 internal Plaquette_Trace 61.7533
128 56 internal Plaquette_NotraceTrace 76.6433
128 56 array MatMul 227.0133
128 56 array conjMatMul 225.5091
128 56 array HalfStaple 170.4643
128 56 array Plaquette 67.1750
128 56 array Plaquette_Kernel 47.8820
128 56 array Plaquette_Notrace 86.4587
128 56 array Plaquette_Trace 105.9036
128 56 array Plaquette_NotraceTrace 85.7216
128 60 internal MatMul 224.3388
128 60 internal MatMulTmp 224.9019
128 60 internal MatMulInter 224.6777
128 60 internal conjMatMul 224.9026
128 60 internal HalfStaple 158.6066
128 60 internal Plaquette 70.3940
128 60 internal Plaquette_Kernel 69.3174
128 60 internal Plaquette_Notrace 86.4842
128 60 internal Plaquette_Trace 57.9094
128 60 internal Plaquette_NotraceTrace 74.8751
128 60 array MatMul 228.0454
128 60 array conjMatMul 226.9093
128 60 array HalfStaple 169.9876
128 60 array Plaquette 71.5762
128 60 array Plaquette_Kernel 47.1734
128 60 array Plaquette_Notrace 93.2925
128 60 array Plaquette_Trace 120.8354
128 60 array Plaquette_NotraceTrace 95.2253
128 64 internal MatMul 229.1671
128 64 internal MatMulTmp 229.6073
128 64 internal MatMulInter 229.2393
128 64 internal conjMatMul 229.8015
128 64 internal HalfStaple 158.5328
128 64 internal Plaquette 45.0575
128 64 internal Plaquette_Kernel 48.6607
128 64 internal Plaquette_Notrace 93.1188
128 64 internal Plaquette_Trace 44.4732
128 64 internal Plaquette_NotraceTrace 86.9270
128 64 array MatMul 229.8848
128 64 array conjMatMul 229.5516
128 64 array HalfStaple 173.2651
128 64 array Plaquette 44.4983
128 64 array Plaquette_Kernel 39.0358
128 64 array Plaquette_Notrace 101.2980
128 64 array Plaquette_Trace 78.7364
128 64 array Plaquette_NotraceTrace 104.9455
128 68 internal MatMul 225.3992
128 68 internal MatMulTmp 225.2646
128 68 internal MatMulInter 225.2612
128 68 internal conjMatMul 225.5293
128 68 internal HalfStaple 159.5987
128 68 internal Plaquette 67.0191
128 68 internal Plaquette_Kernel 66.3293
128 68 internal Plaquette_Notrace 86.2763
128 68 internal Plaquette_Trace 60.5577
128 68 internal Plaquette_NotraceTrace 79.4000
128 68 array MatMul 229.0059
128 68 array conjMatMul 228.1662
128 68 array HalfStaple 171.7185
128 68 array Plaquette 64.2821
128 68 array Plaquette_Kernel 47.4393
128 68 array Plaquette_Notrace 102.1912
128 68 array Plaquette_Trace 100.0973
128 68 array Plaquette_NotraceTrace 106.9190
